Address,Latitude,Longitude,Category,Name,Area,pred_residents
Sarphatistraat 9 A,52.3603135,4.902215,house,,149,4.0
Sarphatistraat 9 B,52.36006535,4.902749835,house,Sarphatistraat,221,5.0
Maarten Jansz Kosterstr 19,52.3603399,4.9023241,house,,178,4.0
Sarphatistraat 11 A,52.3603343,4.9023256,house,,111,4.0
Sarphatistraat 11 B,52.3603399,4.9023231,house,,178,4.0
Sarphatistraat 11 D,52.3603448,4.9023202,house,,94,2.0
Sarphatistraat 11 E,52.3603498,4.9023168,house,,150,4.0
Sarphatistraat 13-1L,52.3603505,4.9024641,house,,54,2.0
Sarphatistraat 13-1R,52.3603507,4.902464,house,,53,2.0
Sarphatistraat 13-2L,52.3603509,4.902464,house,,53,2.0
Sarphatistraat 13-2R,52.3603511,4.9024639,house,,53,2.0
Sarphatistraat 13-3L,52.3603513,4.9024639,house,,53,2.0
Sarphatistraat 13-3R,52.3603515,4.9024638,house,,53,2.0
Sarphatistraat 13 H,52.3603516,4.9024637,office,,,
Maarten Jansz Kosterstr 20 A,52.3605209,4.9023889,industrial,,,
Amstel 344,52.3604963,4.9029617,office,McKinsey & Company,,
Maarten Jansz Kosterstr 14-1,52.3606002,4.9019916,house,,96,3.0
Maarten Jansz Kosterstr 14 H,52.3606004,4.9019917,house,,105,3.0
Maarten Jansz Kosterstr 15-1,52.3606185,4.9020648,house,,79,2.0
Maarten Jansz Kosterstr 15 H,52.3606186,4.9020646,house,,157,4.0
Maarten Jansz Kosterstr 16-2,52.3606188,4.9021529,house,,160,4.0
Maarten Jansz Kosterstr 16 H,52.360619,4.9021528,house,,155,4.0
Maarten Jansz Kosterstr 17,52.360637,4.9022114,house,,73,2.0
Maarten Jansz Kosterstr 18,52.3606642,4.9022699,house,,,
Maarten Jansz Kosterstr 21-1,52.3606919,4.902431,house,,74,2.0
Maarten Jansz Kosterstr 21 H,52.3606919,4.9024312,house,,34,1.0
Maarten Jansz Kosterstr 22-1,52.3607101,4.9025042,house,,47,1.0
Maarten Jansz Kosterstr 22-2,52.3607102,4.9025044,house,,47,1.0
Maarten Jansz Kosterstr 22-3,52.3607102,4.9025046,house,,40,1.0
Maarten Jansz Kosterstr 23-1,52.3607195,4.9025922,house,,47,1.0
Maarten Jansz Kosterstr 23-2,52.3607196,4.9025924,house,,47,1.0
Maarten Jansz Kosterstr 23-3,52.3607197,4.9025926,house,,41,1.0
Maarten Jansz Kosterstr 24-1,52.3607288,4.9026655,house,,45,1.0
Maarten Jansz Kosterstr 24-2,52.360729,4.9026656,house,,39,1.0
Maarten Jansz Kosterstr 24-3,52.3607292,4.9026657,house,,41,1.0
Maarten Jansz Kosterstr 25-1,52.360747,4.9027387,house,,60,2.0
Maarten Jansz Kosterstr 25-3,52.3607471,4.9027385,house,,57,2.0
Amstel 340-1,52.3608284,4.9028406,house,,51,2.0
Amstel 340-2,52.3608283,4.9028404,house,,51,2.0
Amstel 340-3,52.3608283,4.9028402,house,,51,2.0
Amstel 340 H,52.3608282,4.90284,house,,230,5.0
Amstel 342-1,52.3607746,4.9028852,house,,41,1.0
Amstel 342-2,52.3607746,4.902885,house,,41,1.0
Amstel 342-3,52.3607746,4.9028848,house,,93,2.0
Amstel 342 H,52.3607746,4.9028846,house,,1,0.0
Achtergracht 2,52.3610468,4.9013114,childcare,Partou,,
Achtergracht 14,52.3611294,4.9017363,office,,,
Achtergracht 20,52.3611744,4.9020043,public_place,,,
Achtergracht 24 A,52.3612032,4.9021427,house,,114,4.0
Achtergracht 24 B,52.3611914,4.9021446,house,,122,4.0
