0;1;2;3;4;5;6
"Achtergracht 24 B
1017 WP  AMSTERDAM";Woonfunctie;122m²;52.3611914;4.9021446;house;
"Achtergracht 26 A
1017 WP  AMSTERDAM";Woonfunctie;103m²;52.3612124;4.9022492;house;
"Achtergracht 26 B
1017 WP  AMSTERDAM";Woonfunctie;103m²;52.3612123;4.902249;house;
"Achtergracht 26 C
1017 WP  AMSTERDAM";Woonfunctie;103m²;52.3612122;4.9022488;house;
"Achtergracht 26 D
1017 WP  AMSTERDAM";Woonfunctie;118m²;52.3612122;4.9022487;house;
"Achtergracht 26 E
1017 WP  AMSTERDAM";Woonfunctie;117m²;52.3612121;4.9022485;house;
"Achtergracht 26 F
1017 WP  AMSTERDAM";Woonfunctie;117m²;52.3612123;4.9022345;house;
"Achtergracht 26 F
1017 WP  AMSTERDAM";Woonfunctie;117m²;52.3612123;4.9022345;house;
"Achtergracht 28-1
1017 WP  AMSTERDAM";Woonfunctie;36m²;52.3612037;4.902308;house;
"Achtergracht 28-2
1017 WP  AMSTERDAM";Woonfunctie;25m²;52.3612036;4.9023082;house;
"Achtergracht 28 H
1017 WP  AMSTERDAM";Woonfunctie;41m²;52.3612036;4.9023084;house;
"Achtergracht 28 O
1017 WP  AMSTERDAM";Overige gebruiksfunctie;1m²;52.3612035;4.9023086;house;
"Achtergracht 30-1
1017 WP  AMSTERDAM";Woonfunctie;37m²;52.3612219;4.9023665;house;
"Achtergracht 30-2
1017 WP  AMSTERDAM";Woonfunctie;50m²;52.3612218;4.9023667;house;
"Achtergracht 30 H
1017 WP  AMSTERDAM";Woonfunctie;41m²;52.3612391;4.902368;house;
"Achtergracht 30 O
1017 WP  AMSTERDAM";Woonfunctie;76m²;52.3612216;4.9023668;house;
"Achtergracht 32
1017 WP  AMSTERDAM";Woonfunctie;63m²;52.3612311;4.9024251;house;
"Achtergracht 34
1017 WP  AMSTERDAM";Woonfunctie;115m²;52.3612403;4.9024691;house;
"Achtergracht 36
1017 WP  AMSTERDAM";Woonfunctie;65m²;52.3612585;4.9025276;house;
"Achtergracht 38
1017 WP  AMSTERDAM";Woonfunctie;81m²;52.3612767;4.9025861;house;
"Amstel 316
1017 AP  AMSTERDAM";Kantoorfunctie;94m²;52.3612949;4.90263;house;
"Amstel 318
1017 AP  AMSTERDAM";Woonfunctie;78m²;52.3612589;4.9026304;house;
"Amstel 320-1
1017 AP  AMSTERDAM";Woonfunctie;68m²;52.3612321;4.90266;house;
"Amstel 320-2
1017 AP  AMSTERDAM";Woonfunctie;68m²;52.3612321;4.9026598;house;
"Amstel 320-3
1017 AP  AMSTERDAM";Woonfunctie;65m²;52.361232;4.9026596;house;
"Amstel 320-4
1017 AP  AMSTERDAM";Woonfunctie;56m²;52.361232;4.9026594;house;
"Amstel 320 H
1017 AP  AMSTERDAM";Woonfunctie;63m²;52.3612319;4.9026592;house;
"Amstel 320 O
1017 AP  AMSTERDAM";Kantoorfunctie;83m²;52.3612319;4.902659;house;
"Amstel 320 O
1017 AP  AMSTERDAM";Kantoorfunctie;83m²;52.3612319;4.902659;house;
"Amstel 326-1
1017 AR  AMSTERDAM";Woonfunctie;59m²;52.3611603;4.9026902;house;
"Amstel 326-2
1017 AR  AMSTERDAM";Woonfunctie;59m²;52.3611603;4.90269;house;
"Amstel 326-3
1017 AR  AMSTERDAM";Woonfunctie;59m²;52.3611603;4.9026898;house;
"Amstel 326 H
1017 AR  AMSTERDAM";Kantoorfunctie;192m²;52.3611603;4.9026896;house;
"Amstel 326 O
1017 AR  AMSTERDAM";Overige gebruiksfunctie;1m²;52.3611603;4.9026894;house;
"Amstel 324
1017 AR  AMSTERDAM";Overige gebruiksfunctie;1m²;52.3611053;4.9024412;house;
"Amstel 328-1
1017 AR  AMSTERDAM";Woonfunctie;186m²;52.3611153;4.9026907;house;
"Amstel 328 H
1017 AR  AMSTERDAM";Woonfunctie;160m²;52.3611153;4.9026905;house;
"Amstel 330-2
1017 AR  AMSTERDAM";Woonfunctie;145m²;52.3610616;4.9027353;house;
"Amstel 330 H
1017 AR  AMSTERDAM";Woonfunctie;132m²;52.3610616;4.9027351;house;
"Amstel 332
1017 AR  AMSTERDAM";Woonfunctie;240m²;52.3610167;4.9027505;house;
"Amstel 334
1017 AS  AMSTERDAM";Woonfunctie;260m²;52.3609629;4.9027804;house;
"Amstel 336
1017 AS  AMSTERDAM";Woonfunctie;282m²;52.360918;4.9027956;house;
"Amstel 336 A
1017 AS  AMSTERDAM";Woonfunctie;70m²;52.360927;4.9028202;house;
"Amstel 338 A
1017 AS  AMSTERDAM";Woonfunctie;66m²;52.3608942;4.9028383;house;
"Amstel 338 B
1017 AS  AMSTERDAM";Woonfunctie;59m²;52.3608917;4.9028236;house;
"Amstel 338 C
1017 AS  AMSTERDAM";Woonfunctie;63m²;52.3608888;4.9028056;house;
"Amstel 338 D
1017 AS  AMSTERDAM";Woonfunctie;54m²;52.3608858;4.9027884;house;
"Amstel 338 E
1017 AS  AMSTERDAM";Woonfunctie;42m²;52.3608829;4.9027708;house;
"Amstel 300 K
1017 AN  AMSTERDAM";Logiesfunctie;21m²;52.3619809;4.9031794;house;
"Amstel 298 P
AMSTERDAM";Overige gebruiksfunctie;15m²;52.3621636;4.9026445;house;
"Achtergracht 11 F
1017 WL  AMSTERDAM";Kantoorfunctie;20m²;52.3612168;4.9011334;house;
"Achtergracht 47-2
1017 WN  AMSTERDAM";Woonfunctie;44m²;52.3616955;4.9023597;house;
"Achtergracht 45-1
1017 WN  AMSTERDAM";Woonfunctie;27m²;52.3616504;4.9022626;house;
"Achtergracht 45-2
1017 WN  AMSTERDAM";Woonfunctie;27m²;52.3616593;4.9022568;house;
"Achtergracht 45-3
1017 WN  AMSTERDAM";Woonfunctie;27m²;52.3616686;4.9022516;house;
"Achtergracht 45 H
1017 WN  AMSTERDAM";Woonfunctie;1806;52.3616639;4.9022824;house;
"Achtergracht 43
1017 WN  AMSTERDAM";Woonfunctie;81m²;52.3616369;4.9021871;house;
