date,lesson_time,code,location,size
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0209Y,REC V2.12,35
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0209Y,REC JKK.44,35
"Wednesday, 13 November 2024",13:00 - 15:00,6012B0423Y,REC A0.01,500
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0209Y,REC A2.10,40
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0212Y,REC E0.08,15
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0212Y,REC JKB.18,20
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0212Y,REC L0.02,15
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0212Y,REC E1.51,20
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0212Y,REC JKK.85,15
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0212Y,REC GS.07,15
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0212Y,REC E0.09,15
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0212Y,REC L0.02,15
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0212Y,REC JKTB.14,20
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0212Y,REC M0.01,20
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0212Y,REC M0.01,20
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0212Y,REC V1.04,20
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0212Y,REC E0.07,20
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0212Y,REC JKK.79,20
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0212Y,REC JKK.82,20
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0212Y,REC JKTB.14,20
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0230Y,REC JK1.90,35
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0230Y,REC JK1.90,35
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0230Y,REC V1.03,35
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0230Y,REC V1.03,35
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0230Y,REC JKK.93,35
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0230Y,REC JKK.52,35
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0233Y,REC JKT1.05,35
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0233Y,REC JKK.93,35
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0233Y,REC JKT1.03,35
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0233Y,REC JKT1.05,35
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0233Y,REC JKT1.05,35
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0233Y,REC JKT1.03,35
"Wednesday, 13 November 2024",13:00 - 15:00,6012B0452Y,REC JKTB.18,40
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0233Y,REC JKTB.18,35
"Wednesday, 13 November 2024",13:00 - 15:00,6012B0452Y,REC JKB.52,40
"Wednesday, 13 November 2024",11:00 - 13:00,6012B0452Y,REC JKTB.18,40
"Wednesday, 13 November 2024",13:00 - 15:00,6012B0452Y,REC E0.03 (Active Learning Space),40
"Wednesday, 13 November 2024",11:00 - 13:00,6012B0452Y,REC JKTB.16,40
"Wednesday, 13 November 2024",13:00 - 15:00,6012B0453Y,REC E1.17,40
"Wednesday, 13 November 2024",11:00 - 13:00,6012B0452Y,REC JKB.52,40
"Wednesday, 13 November 2024",13:00 - 15:00,6012B0453Y,REC JK1.05,40
"Wednesday, 13 November 2024",11:00 - 13:00,6012B0453Y,REC JKTB.22,40
"Wednesday, 13 November 2024",13:00 - 15:00,6012B0453Y,REC MS.02,40
"Wednesday, 13 November 2024",11:00 - 13:00,6012B0453Y,REC E1.17,40
"Wednesday, 13 November 2024",11:00 - 13:00,6012B0453Y,REC MS.02,40
"Wednesday, 13 November 2024",15:00 - 17:00,6012B0371Y,REC JK1.83,40
"Wednesday, 13 November 2024",15:00 - 17:00,6012B0371Y,REC JK1.23,40
"Wednesday, 13 November 2024",15:00 - 17:00,6012B0386Y,REC V0.14,40
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0283Y,REC C1.03,220
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0212Y,REC GS.04,15
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0212Y,REC L0.02,15
"Wednesday, 13 November 2024",15:00 - 17:00,6012B0809Y,REC JKB.03,40
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0206Y,REC JKK.60a,35
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0209Y,REC V2.03,35
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0212Y,REC JKK.79,20
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0212Y,REC E0.07,20
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0212Y,REC JKK.82,20
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0212Y,REC JKTB.14,20
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0230Y,REC JK1.90,35
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0230Y,REC V1.03,35
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0230Y,REC JKK.93,35
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0233Y,REC JKT1.05,35
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0233Y,REC JKTB.16,35
"Wednesday, 13 November 2024",15:00 - 17:00,6011P0233Y,REC JKTB.16,35
"Wednesday, 13 November 2024",15:00 - 17:00,6012B0452Y,REC JKTB.18,40
"Wednesday, 13 November 2024",15:00 - 17:00,6012B0452Y,REC JKB.52,40
"Wednesday, 13 November 2024",15:00 - 17:00,6012B0452Y,REC E0.03 (Active Learning Space),40
"Wednesday, 13 November 2024",15:00 - 17:00,6012B0453Y,REC JK1.05,40
"Wednesday, 13 November 2024",15:00 - 17:00,6012B0453Y,REC M0.02,40
"Wednesday, 13 November 2024",15:00 - 17:00,6012B0453Y,REC JKTB.20,40
"Wednesday, 13 November 2024",17:00 - 18:00,6012B0386Y,REC V0.14,40
"Wednesday, 13 November 2024",17:00 - 19:00,6012B0371Y,REC JK1.83,40
"Wednesday, 13 November 2024",17:00 - 19:00,6012B0371Y,REC JK1.23,40
"Wednesday, 13 November 2024",17:00 - 19:00,6012B0801Y,REC M1.03,100
"Wednesday, 13 November 2024",17:00 - 19:00,6011P0233Y,REC M1.03,35
"Wednesday, 13 November 2024",17:00 - 19:00,6011P0233Y,REC JKTB.16,40
"Wednesday, 13 November 2024",17:00 - 19:00,6012B0453Y,REC JKTB.20,40
