objectnr;label;linknr;year;name;day;daylv;eveninglv;nightlv;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
20023;Link 204114;204114;2030;Roetersstraat;4982;265;211;108;LINESTRING(4.910786 52.3636496,4.9106623 52.3632744,4.9105997 52.3631753);LINESTRING(52.3636496 4.910786,52.3632744 4.9106623,52.3631753 4.9105997);4.91069285;52.36341245
20024;Link 204114;204114;2035;Roetersstraat;5132;273;218;111;LINESTRING(4.910786 52.3636496,4.9106623 52.3632744,4.9105997 52.3631753);LINESTRING(52.3636496 4.910786,52.3632744 4.9106623,52.3631753 4.9105997);4.91069285;52.36341245
20025;Link 204114;204114;2040;Roetersstraat;5215;277;222;113;LINESTRING(4.910786 52.3636496,4.9106623 52.3632744,4.9105997 52.3631753);LINESTRING(52.3636496 4.910786,52.3632744 4.9106623,52.3631753 4.9105997);4.91069285;52.36341245
20026;Link 204114;204114;2050;Roetersstraat;5668;302;241;123;LINESTRING(4.910786 52.3636496,4.9106623 52.3632744,4.9105997 52.3631753);LINESTRING(52.3636496 4.910786,52.3632744 4.9106623,52.3631753 4.9105997);4.91069285;52.36341245
13537;Link 466841;466841;2019;Sarphatistraat;2285;119;95;49;LINESTRING(4.9124232 52.3620802,4.9134109 52.3623229);LINESTRING(52.3620802 4.9124232,52.3623229 4.9134109);4.91291705;52.36220155
13538;Link 466841;466841;2025;Sarphatistraat;3300;174;139;71;LINESTRING(4.9124232 52.3620802,4.9134109 52.3623229);LINESTRING(52.3620802 4.9124232,52.3623229 4.9134109);4.91291705;52.36220155
13539;Link 466841;466841;2030;Sarphatistraat;3595;190;151;78;LINESTRING(4.9124232 52.3620802,4.9134109 52.3623229);LINESTRING(52.3620802 4.9124232,52.3623229 4.9134109);4.91291705;52.36220155
13540;Link 466841;466841;2035;Sarphatistraat;3777;200;160;82;LINESTRING(4.9124232 52.3620802,4.9134109 52.3623229);LINESTRING(52.3620802 4.9124232,52.3623229 4.9134109);4.91291705;52.36220155
13541;Link 466841;466841;2040;Sarphatistraat;3886;206;164;84;LINESTRING(4.9124232 52.3620802,4.9134109 52.3623229);LINESTRING(52.3620802 4.9124232,52.3623229 4.9134109);4.91291705;52.36220155
13542;Link 466841;466841;2050;Sarphatistraat;4404;234;187;96;LINESTRING(4.9124232 52.3620802,4.9134109 52.3623229);LINESTRING(52.3620802 4.9124232,52.3623229 4.9134109);4.91291705;52.36220155
13543;Link 466842;466842;2019;Sarphatistraat;2285;119;95;49;LINESTRING(4.9141978 52.3624583,4.9134109 52.3623229);LINESTRING(52.3624583 4.9141978,52.3623229 4.9134109);4.91380435;52.3623906
13544;Link 466842;466842;2025;Sarphatistraat;3300;174;139;71;LINESTRING(4.9141978 52.3624583,4.9134109 52.3623229);LINESTRING(52.3624583 4.9141978,52.3623229 4.9134109);4.91380435;52.3623906
13545;Link 466842;466842;2030;Sarphatistraat;3595;190;151;78;LINESTRING(4.9141978 52.3624583,4.9134109 52.3623229);LINESTRING(52.3624583 4.9141978,52.3623229 4.9134109);4.91380435;52.3623906
13546;Link 466842;466842;2035;Sarphatistraat;3777;200;160;82;LINESTRING(4.9141978 52.3624583,4.9134109 52.3623229);LINESTRING(52.3624583 4.9141978,52.3623229 4.9134109);4.91380435;52.3623906
13547;Link 466842;466842;2040;Sarphatistraat;3886;206;164;84;LINESTRING(4.9141978 52.3624583,4.9134109 52.3623229);LINESTRING(52.3624583 4.9141978,52.3623229 4.9134109);4.91380435;52.3623906
13548;Link 466842;466842;2050;Sarphatistraat;4404;234;187;96;LINESTRING(4.9141978 52.3624583,4.9134109 52.3623229);LINESTRING(52.3624583 4.9141978,52.3623229 4.9134109);4.91380435;52.3623906
22830;Link 209263;209263;2025;Sarphatistraat;2185;117;93;48;LINESTRING(4.908386 52.361284,4.9095771 52.3615059);LINESTRING(52.361284 4.908386,52.3615059 4.9095771);4.90898155;52.36139495
