id,mode,modified,departure,duration,waiting_time,percent_waiting,duration_before
1129,Walk,false,12:31:00.0,792.1475,0,0,0
100,Walk,false,12:42:00.0,138.7177,0,0,0
6698,Walk,false,12:26:00.0,1126.1492,33.5266,2,0
9133,Bike,false,12:42:00.0,168.0313,0,0,0
1786,Bike,false,12:39:00.0,361.7615,0.5,0,0
7482,Walk,false,12:41:00.0,308.1848,0,0,0
8689,Walk,false,12:41:00.0,318.7117,0,0,0
3848,Drive,false,12:19:00.0,1651.3483,1.5,0,0
2350,Walk,false,12:44:00.0,158.7842,0,0,0
7291,Walk,false,12:40:00.0,402.5145,0,0,0
881,Bike,false,12:38:00.0,552.3712,2.5,0,0
4641,Walk,false,12:40:00.0,452.7681,0,0,0
9658,Walk,false,12:37:00.0,659.9496,0,0,0
998,Walk,false,12:37:00.0,670.8935,0,0,0
896,Walk,false,12:32:00.0,971.2726,75.6254,7,0
9653,Bike,false,12:38:00.0,613.9102,2.5,0,0
2306,Drive,false,12:23:00.0,1525.7725,3.6011,0,0
1810,Walk,false,12:46:00.0,146.801,0,0,0
686,Walk,false,12:46:00.0,149.6673,0,0,0
7075,Bike,false,12:36:00.0,751.4694,1.5,0,0
10026,Walk,false,12:41:00.0,465.0823,0,0,0
5482,Bike,false,12:44:00.0,306.5638,0,0,0
1300,Walk,false,12:38:00.0,679.1099,0,0,0
8358,Bike,false,12:42:00.0,439.8803,21.0733,4,0
8450,Walk,false,12:44:00.0,359.5423,0,0,0
5696,Walk,false,12:38:00.0,722.7424,0,0,0
5613,Bike,false,12:44:00.0,366.2966,1.5,0,0
629,Walk,false,12:44:00.0,368.8702,0,0,0
744,Walk,false,12:29:00.0,1275.7184,56.1465,4,0
1996,Bike,false,12:45:00.0,334.0853,0.5,0,0
3244,Walk,false,12:41:00.0,591.0585,0,0,0
6927,Walk,false,12:47:00.0,232.3948,0,0,0
5526,Walk,false,12:29:00.0,1314.6081,0,0,0
1758,Walk,false,12:36:00.0,951.3435,0,0,0
3478,Walk,false,12:49:00.0,174.5225,0,0,0
866,Walk,false,12:31:00.0,1257.9059,0,0,0
9154,Walk,false,12:38:00.0,846.9381,0,0,0
9136,Walk,false,12:40:00.0,738.5554,0,0,0
5943,Walk,false,12:46:00.0,378.6559,0,0,0
7672,Walk,false,12:40:00.0,745.1413,0,0,0
2169,Walk,false,12:36:00.0,986.8263,0,0,0
1075,Bike,false,12:45:00.0,450.1217,29.0112,6,0
7918,Bike,false,12:45:00.0,464.041,1.5,0,0
3663,Walk,false,12:48:00.0,290.4171,0,0,0
721,Walk,false,12:47:00.0,351.6194,0,0,0
1912,Walk,false,12:34:00.0,1145.5478,55.5423,4,0
3513,Walk,false,12:49:00.0,292.8377,0,0,0
2895,Bike,false,12:48:00.0,372.5277,0,0,0
8708,Walk,false,12:52:00.0,134.5522,0,0,0
9206,Walk,false,12:43:00.0,682.5331,0,0,0
